"","site","date","temp","wind","hum","rad","agg_seven_temp","agg_seven_wind","agg_seven_hum","agg_seven_rad","agg_thirty_temp","agg_thirty_wind","agg_thirty_hum","agg_thirty_rad","Ice","Pond","Open Water","All Water"
"1","beaufo",1999-01-01,-25.5,15.1,798,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","beaufo",1999-01-02,-25.9,16,797,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","beaufo",1999-01-03,-21.8,36.3,775,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","beaufo",1999-01-04,-19.2,25.5,795,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","beaufo",1999-01-05,-21.8,18.9,811,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","beaufo",1999-01-06,-25.3,10.7,829,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","beaufo",1999-01-07,-27.8,9.4,827,0,-23.9,18.8428571428571,804.571428571429,0,NA,NA,NA,NA,NA,NA,NA,NA
"8","beaufo",1999-01-08,-28.5,15.8,768,0,-24.3285714285714,18.9428571428571,800.285714285714,0,NA,NA,NA,NA,NA,NA,NA,NA
"9","beaufo",1999-01-09,-28.1,19.9,763,0,-24.6428571428571,19.5,795.428571428571,0,NA,NA,NA,NA,NA,NA,NA,NA
"10","beaufo",1999-01-10,-26.4,23.9,774,0,-25.3,17.7285714285714,795.285714285714,0,NA,NA,NA,NA,NA,NA,NA,NA
"11","beaufo",1999-01-11,-22.9,16.6,816,0,-25.8285714285714,16.4571428571429,798.285714285714,0,NA,NA,NA,NA,NA,NA,NA,NA
"12","beaufo",1999-01-12,-27.8,13.9,811,0,-26.6857142857143,15.7428571428571,798.285714285714,0,NA,NA,NA,NA,NA,NA,NA,NA
"13","beaufo",1999-01-13,-25.4,6.3,782,0,-26.7,15.1142857142857,791.571428571429,0,NA,NA,NA,NA,NA,NA,NA,NA
"14","beaufo",1999-01-14,-25.8,23.6,763,0,-26.4142857142857,17.1428571428571,782.428571428571,0,NA,NA,NA,NA,NA,NA,NA,NA
"15","beaufo",1999-01-15,-24,29.5,798,0,-25.7714285714286,19.1,786.714285714286,0,NA,NA,NA,NA,NA,NA,NA,NA
"16","beaufo",1999-01-16,-22.2,27.3,785,0,-24.9285714285714,20.1571428571429,789.857142857143,0,NA,NA,NA,NA,NA,NA,NA,NA
"17","beaufo",1999-01-17,-21.6,21.5,792,0,-24.2428571428571,19.8142857142857,792.428571428571,0,NA,NA,NA,NA,NA,NA,NA,NA
"18","beaufo",1999-01-18,-20.4,6.5,768,0,-23.8857142857143,18.3714285714286,785.571428571429,0,NA,NA,NA,NA,NA,NA,NA,NA
"19","beaufo",1999-01-19,-24.3,11.1,813,0,-23.3857142857143,17.9714285714286,785.857142857143,0,NA,NA,NA,NA,NA,NA,NA,NA
"20","beaufo",1999-01-20,-26.6,25.4,738,0,-23.5571428571429,20.7,779.571428571429,0,NA,NA,NA,NA,NA,NA,NA,NA
"21","beaufo",1999-01-21,-28.3,35.7,738,0,-23.9142857142857,22.4285714285714,776,0,NA,NA,NA,NA,NA,NA,NA,NA
"22","beaufo",1999-01-22,-30.1,20.3,753,0,-24.7857142857143,21.1142857142857,769.571428571429,0,NA,NA,NA,NA,NA,NA,NA,NA
"23","beaufo",1999-01-23,-30.8,13.6,757,0,-26.0142857142857,19.1571428571429,765.571428571429,0,NA,NA,NA,NA,NA,NA,NA,NA
"24","beaufo",1999-01-24,-21.7,35.2,792,0,-26.0285714285714,21.1142857142857,765.571428571429,0,NA,NA,NA,NA,NA,NA,NA,NA
"25","beaufo",1999-01-25,-20.9,48.8,757,0,-26.1,27.1571428571429,764,0,NA,NA,NA,NA,NA,NA,NA,NA
"26","beaufo",1999-01-26,-27.9,34.7,725,0,-26.6142857142857,30.5285714285714,751.428571428571,0,NA,NA,NA,NA,NA,NA,NA,NA
"27","beaufo",1999-01-27,-29.4,20.8,752,0,-27.0142857142857,29.8714285714286,753.428571428571,0,NA,NA,NA,NA,NA,NA,NA,NA
"28","beaufo",1999-01-28,-30.4,20.4,765,0,-27.3142857142857,27.6857142857143,757.285714285714,0,NA,NA,NA,NA,NA,NA,NA,NA
"29","beaufo",1999-01-29,-28.9,24.8,785,0,-27.1428571428571,28.3285714285714,761.857142857143,0,NA,NA,NA,NA,NA,NA,NA,NA
"30","beaufo",1999-01-30,-30.9,6.3,555,0,-27.1571428571429,27.2857142857143,733,0,-25.6866666666667,21.1266666666667,772.733333333333,0,NA,NA,NA,NA
"31","beaufo",1999-01-31,-33.4,7.4,704,0,-28.8285714285714,23.3142857142857,720.428571428571,0,-25.95,20.87,769.6,0,NA,NA,NA,NA
"32","beaufo",1999-02-01,-29.4,29,715,0,-30.0428571428571,20.4857142857143,714.428571428571,0,-26.0666666666667,21.3033333333333,766.866666666667,0,NA,NA,NA,NA
"33","beaufo",1999-02-02,-27,46.2,766,0,-29.9142857142857,22.1285714285714,720.285714285714,0,-26.24,21.6333333333333,766.566666666667,0,NA,NA,NA,NA
"34","beaufo",1999-02-03,-26.9,38.5,768,0,-29.5571428571429,24.6571428571429,722.571428571429,0,-26.4966666666667,22.0666666666667,765.666666666667,0,NA,NA,NA,NA
"35","beaufo",1999-02-04,-29.7,22.9,756,0,-29.4571428571429,25.0142857142857,721.285714285714,0,-26.76,22.2,763.833333333333,0,NA,NA,NA,NA
"36","beaufo",1999-02-05,-30.5,13.4,758,0,-29.6857142857143,23.3857142857143,717.428571428571,0,-26.9333333333333,22.29,761.466666666667,0,NA,NA,NA,NA
"37","beaufo",1999-02-06,-30.6,12.1,772,0,-29.6428571428571,24.2142857142857,748.428571428571,0,-27.0266666666667,22.38,759.633333333333,0,NA,NA,NA,NA
"38","beaufo",1999-02-07,-30.6,4.3,789,0,-29.2428571428571,23.7714285714286,760.571428571429,0,-27.0966666666667,21.9966666666667,760.333333333333,0,NA,NA,NA,NA
"39","beaufo",1999-02-08,-29.2,9.3,736,0,-29.2142857142857,20.9571428571429,763.571428571429,0,-27.1333333333333,21.6433333333333,759.433333333333,0,NA,NA,NA,NA
"40","beaufo",1999-02-09,-30.3,24.1,755,1.2,-29.6857142857143,17.8,762,1.2,-27.2633333333333,21.65,758.8,1.2,NA,NA,NA,NA
"41","beaufo",1999-02-10,-33.9,16.5,731,2.4,-30.6857142857143,14.6571428571429,756.714285714286,3.6,-27.63,21.6466666666667,755.966666666667,3.6,NA,NA,NA,NA
"42","beaufo",1999-02-11,-33.5,11.6,775,4.3,-31.2285714285714,13.0428571428571,759.428571428571,7.9,-27.82,21.57,754.766666666667,7.9,NA,NA,NA,NA
"43","beaufo",1999-02-12,-29.9,26.2,749,0,-31.1428571428571,14.8714285714286,758.142857142857,7.9,-27.97,22.2333333333333,753.666666666667,7.9,NA,NA,NA,NA
"44","beaufo",1999-02-13,-24.1,20.8,767,0,-30.2142857142857,16.1142857142857,757.428571428571,7.9,-27.9133333333333,22.14,753.8,7.9,NA,NA,NA,NA
"45","beaufo",1999-02-14,-25.7,8.8,805,5,-29.5142857142857,16.7571428571429,759.714285714286,12.9,-27.97,21.45,754.033333333333,12.9,NA,NA,NA,NA
"46","beaufo",1999-02-15,-25.3,27.8,782,1,-28.9571428571429,19.4,766.285714285714,13.9,-28.0733333333333,21.4666666666667,753.933333333333,13.9,NA,NA,NA,NA
"47","beaufo",1999-02-16,-23.6,41,796,9.6,-28,21.8142857142857,772.142857142857,22.3,-28.14,22.1166666666667,754.066666666667,23.5,NA,NA,NA,NA
"48","beaufo",1999-02-17,-18.7,30.1,832,0,-25.8285714285714,23.7571428571429,786.571428571429,19.9,-28.0833333333333,22.9033333333333,756.2,23.5,NA,NA,NA,NA
"49","beaufo",1999-02-18,-15.4,24.6,871,2.5,-23.2428571428571,25.6142857142857,800.285714285714,18.1,-27.7866666666667,23.3533333333333,758.133333333333,26,NA,NA,NA,NA
"50","beaufo",1999-02-19,-16.5,20.9,864,3.5,-21.3285714285714,24.8571428571429,816.714285714286,21.6,-27.45,23.2033333333333,762.333333333333,29.5,NA,NA,NA,NA
"51","beaufo",1999-02-20,-21.6,5.4,802,2.1,-20.9714285714286,22.6571428571429,821.714285714286,23.7,-27.2266666666667,22.1933333333333,764.466666666667,31.6,NA,NA,NA,NA
"52","beaufo",1999-02-21,-19.4,12.3,828,0,-20.0714285714286,23.1571428571429,825,18.7,-26.87,21.9266666666667,766.966666666667,31.6,NA,NA,NA,NA
"53","beaufo",1999-02-22,-20.4,12.6,807,4.6,-19.3714285714286,20.9857142857143,828.571428571429,22.3,-26.5233333333333,21.8933333333333,768.633333333333,36.2,NA,NA,NA,NA
"54","beaufo",1999-02-23,-22.6,19,785,16.5,-19.2285714285714,17.8428571428571,827,29.2,-26.5533333333333,21.3533333333333,768.4,52.7,NA,NA,NA,NA
"55","beaufo",1999-02-24,-21,25.9,808,4.2,-19.5571428571429,17.2428571428571,823.571428571429,33.4,-26.5566666666667,20.59,770.1,56.9,NA,NA,NA,NA
"56","beaufo",1999-02-25,-21.7,30.8,798,24.3,-20.4571428571429,18.1285714285714,813.142857142857,55.2,-26.35,20.46,772.533333333333,81.2,NA,NA,NA,NA
"57","beaufo",1999-02-26,-22.6,31.1,770,13.7,-21.3285714285714,19.5857142857143,799.714285714286,65.4,-26.1233333333333,20.8033333333333,773.133333333333,94.9,NA,NA,NA,NA
"58","beaufo",1999-02-27,-24.9,26.7,771,50.8,-21.8,22.6285714285714,795.285714285714,114.1,-25.94,21.0133333333333,773.333333333333,145.7,NA,NA,NA,NA
"59","beaufo",1999-02-28,-26.4,15.1,772,56.9,-22.8,23.0285714285714,787.285714285714,171,-25.8566666666667,20.69,772.9,202.6,NA,NA,NA,NA
"60","beaufo",1999-03-01,-26.7,7.5,772,44.8,-23.7,22.3,782.285714285714,211.2,-25.7166666666667,20.73,780.133333333333,247.4,NA,NA,NA,NA
"61","beaufo",1999-03-02,-25.5,14.5,782,5.8,-24.1142857142857,21.6571428571429,781.857142857143,200.5,-25.4533333333333,20.9666666666667,782.733333333333,253.2,NA,NA,NA,NA
"62","beaufo",1999-03-03,-23.1,12,776,43.9,-24.4142857142857,19.6714285714286,777.285714285714,240.2,-25.2433333333333,20.4,784.766666666667,297.1,NA,NA,NA,NA
"63","beaufo",1999-03-04,-25.7,8,789,60.5,-24.9857142857143,16.4142857142857,776,276.4,-25.2,19.1266666666667,785.533333333333,357.6,NA,NA,NA,NA
"64","beaufo",1999-03-05,-24.7,20.4,781,11.4,-25.2857142857143,14.8857142857143,777.571428571429,274.1,-25.1266666666667,18.5233333333333,785.966666666667,369,NA,NA,NA,NA
"65","beaufo",1999-03-06,-20.9,18.5,820,51,-24.7142857142857,13.7142857142857,784.571428571429,274.3,-24.8333333333333,18.3766666666667,788.1,420,NA,NA,NA,NA
"66","beaufo",1999-03-07,-25.7,9.5,786,103,-24.6142857142857,12.9142857142857,786.571428571429,320.4,-24.6733333333333,18.2466666666667,789.033333333333,523,NA,NA,NA,NA
"67","beaufo",1999-03-08,-26.3,18.3,764,106.5,-24.5571428571429,14.4571428571429,785.428571428571,382.1,-24.53,18.4533333333333,788.766666666667,629.5,NA,NA,NA,NA
"68","beaufo",1999-03-09,-27,8.2,718,49.1,-24.7714285714286,13.5571428571429,776.285714285714,425.4,-24.41,18.5833333333333,786.4,678.6,NA,NA,NA,NA
"69","beaufo",1999-03-10,-28.9,12,754,107.7,-25.6,13.5571428571429,773.142857142857,489.2,-24.4,18.6733333333333,787,786.3,NA,NA,NA,NA
"70","beaufo",1999-03-11,-28.9,13.4,742,42.1,-26.0571428571429,14.3285714285714,766.428571428571,470.8,-24.3533333333333,18.3166666666667,786.566666666667,827.2,NA,NA,NA,NA
"71","beaufo",1999-03-12,-28.6,15,763,124.6,-26.6142857142857,13.5571428571429,763.857142857143,584,-24.1766666666667,18.2666666666667,787.633333333333,949.4,NA,NA,NA,NA
"72","beaufo",1999-03-13,-23.6,23.6,775,2,-27,14.2857142857143,757.428571428571,535,-23.8466666666667,18.6666666666667,787.633333333333,947.1,NA,NA,NA,NA
"73","beaufo",1999-03-14,-22.6,12.9,736,108.5,-26.5571428571429,14.7714285714286,750.285714285714,540.5,-23.6033333333333,18.2233333333333,787.2,1055.6,NA,NA,NA,NA
"74","beaufo",1999-03-15,-21.6,11.9,761,43.5,-25.8857142857143,13.8571428571429,749.857142857143,477.5,-23.52,17.9266666666667,787,1099.1,NA,NA,NA,NA
"75","beaufo",1999-03-16,-18.8,7.2,836,23.5,-24.7142857142857,13.7142857142857,766.714285714286,451.9,-23.29,17.8733333333333,788.033333333333,1117.6,NA,NA,NA,NA
"76","beaufo",1999-03-17,-19.3,9.4,828,85.5,-23.3428571428571,13.3428571428571,777.285714285714,429.7,-23.09,17.26,789.566666666667,1202.1,NA,NA,NA,NA
"77","beaufo",1999-03-18,-19.9,13.1,748,97.5,-22.0571428571429,13.3,778.142857142857,485.1,-22.9666666666667,16.33,787.966666666667,1290,NA,NA,NA,NA
"78","beaufo",1999-03-19,-20.5,14.6,808,61.1,-20.9,13.2428571428571,784.571428571429,421.6,-23.0266666666667,15.8133333333333,787.166666666667,1351.1,NA,NA,NA,NA
"79","beaufo",1999-03-20,-19,12.4,816,50.5,-20.2428571428571,11.6428571428571,790.428571428571,470.1,-23.1466666666667,15.4066666666667,785.333333333333,1399.1,NA,NA,NA,NA
"80","beaufo",1999-03-21,-22.1,18.4,808,153,-20.1714285714286,12.4285714285714,800.714285714286,514.6,-23.3333333333333,15.3233333333333,783.466666666667,1548.6,NA,NA,NA,NA
"81","beaufo",1999-03-22,-19.8,21.5,811,95.1,-19.9142857142857,13.8,807.857142857143,566.2,-23.2733333333333,15.86,783.766666666667,1641.6,NA,NA,NA,NA
"82","beaufo",1999-03-23,-20.7,31.4,776,143,-20.1857142857143,17.2571428571429,799.285714285714,685.7,-23.3166666666667,16.4966666666667,782.033333333333,1784.6,NA,NA,NA,NA
"83","beaufo",1999-03-24,-19.6,42.7,784,87.4,-20.2285714285714,22.0142857142857,793,687.6,-23.29,17.5,781.266666666667,1867.4,NA,NA,NA,NA
"84","beaufo",1999-03-25,-22,49.7,765,156.5,-20.5285714285714,27.2428571428571,795.428571428571,746.6,-23.27,18.5233333333333,780.6,2007.4,NA,NA,NA,NA
"85","beaufo",1999-03-26,-23.9,44.7,745,193.3,-21.0142857142857,31.5428571428571,786.428571428571,878.8,-23.3666666666667,19.15,778.5,2196.5,NA,NA,NA,NA
"86","beaufo",1999-03-27,-25.8,34.7,717,180.9,-21.9857142857143,34.7285714285714,772.285714285714,1009.2,-23.5033333333333,19.28,775.8,2353.1,NA,NA,NA,NA
"87","beaufo",1999-03-28,-26.7,23.8,720,225.1,-22.6428571428571,35.5,759.714285714286,1081.3,-23.64,19.0366666666667,774.133333333333,2564.5,NA,NA,NA,NA
"88","beaufo",1999-03-29,-26.9,21.9,719,170.5,-23.6571428571429,35.5571428571429,746.571428571429,1156.7,-23.7066666666667,18.8766666666667,772.4,2684.2,NA,NA,NA,NA
"89","beaufo",1999-03-30,-25,19.5,752,230.4,-24.2714285714286,33.8571428571429,743.142857142857,1244.1,-23.66,19.0233333333333,771.733333333333,2857.7,NA,NA,NA,NA
"90","beaufo",1999-03-31,-25.1,20,742,219.6,-25.0571428571429,30.6142857142857,737.142857142857,1376.3,-23.6066666666667,19.44,770.733333333333,3032.5,NA,NA,NA,NA
"91","beaufo",1999-04-01,-24.7,23.8,761,208.1,-25.4428571428571,26.9142857142857,736.571428571429,1427.9,-23.58,19.75,770.033333333333,3234.8,NA,NA,NA,NA
"92","beaufo",1999-04-02,-23.7,30.2,779,251.5,-25.4142857142857,24.8428571428571,741.428571428571,1486.1,-23.6,20.3566666666667,770.133333333333,3442.4,NA,NA,NA,NA
"93","beaufo",1999-04-03,-23.3,14.2,775,239.1,-25.0571428571429,21.9142857142857,749.714285714286,1544.3,-23.52,20.5633333333333,769.666666666667,3621,NA,NA,NA,NA
"94","beaufo",1999-04-04,-22.8,5.4,769,129.5,-24.5,19.2857142857143,756.714285714286,1448.7,-23.4566666666667,20.0633333333333,769.266666666667,3739.1,NA,NA,NA,NA
"95","beaufo",1999-04-05,-20.8,9.9,764,196.7,-23.6285714285714,17.5714285714286,763.142857142857,1474.9,-23.4533333333333,19.7766666666667,767.4,3884.8,NA,NA,NA,NA
"96","beaufo",1999-04-06,-19,31.7,819,141.1,-22.7714285714286,19.3142857142857,772.714285714286,1385.6,-23.23,20.5166666666667,768.5,3922.9,NA,NA,NA,NA
"97","beaufo",1999-04-07,-15.9,19.9,800,47.2,-21.4571428571429,19.3,781,1213.2,-22.8833333333333,20.57,769.7,3863.6,NA,NA,NA,NA
"98","beaufo",1999-04-08,-16.8,12.1,795,132.9,-20.3285714285714,17.6285714285714,785.857142857143,1138,-22.5433333333333,20.7,772.266666666667,3947.4,NA,NA,NA,NA
